ID,Species-Id-Mets-Score,Species-Id-Mets-Rank,Species-All-Mets-Score,Species-All-Mets-Rank,Enzymes-Id-Mets-Score,Enzymes-Id-Mets-Rank,Enzymes-All-Mets-Score,Enzymes-All-Mets-Rank
Phosphatidylcholines,,,0.2359,3114,,,0.1889,8767
Phosphatidylcholines,,,0.3416,546,,,0.2325,5779
C36:4 PC-A,0.4349,80,0.2542,2277,0.4057,248,0.2663,3905
C36:4 PC-B,0.3732,155,0.223,3917,0.2931,1435,0.2009,7933
Phosphatidylcholines,,,0.2888,1294,,,0.152,10642
3-hydroxysteroids,,,0.2032,5360,,,0.2292,5997
C8-pos_Cluster_1877,,,0.1513,8645,,,0.2141,7023
C8-pos_Cluster_1878,,,0.2597,2083,,,0.2242,6316
C36:3 PC,0.4798,44,0.2872,1326,0.2809,1629,0.2026,7804
C8-pos_Cluster_1880,,,0.1843,6935,,,0.2471,4904
Sphingolipids,,,0.2308,3438,,,0.2973,2670
C8-pos_Cluster_1882,,,0.1269,8996,,,0.1526,10632
C8-pos_Cluster_1883,,,0.2496,2466,,,0.3116,2161
C22:1 SM,0.2978,408,0.2037,5321,0.2514,2129,0.1743,9756
C8-pos_Cluster_1885,,,0.2214,4031,,,0.2853,3098
C36:2 PC,0.3035,380,0.2116,4738,0.3178,990,0.1852,9066
C8-pos_Cluster_1887,,,0.2871,1329,,,0.1671,10144
C22:0 SM,0.3755,152,0.2656,1900,0.3945,288,0.2635,4036
C36:1 PC,0.3396,238,0.2461,2607,0.3672,414,0.2193,6642
C8-pos_Cluster_1890,,,0.2373,3041,,,0.226,6217
C8-pos_Cluster_1891,,,0.2979,1114,,,0.2108,7259
C8-pos_Cluster_1892,,,0.2411,2852,,,0.2626,4081
C8-pos_Cluster_1893,,,0.1768,7481,,,0.2208,6549
Sphingolipids,,,0.255,2247,,,0.28,3337
Sphingolipids,,,0.3875,260,,,0.3057,2366
C8-pos_Cluster_1896,,,0.2908,1247,,,0.3296,1663
C8-pos_Cluster_1897,,,0.2265,3690,,,0.268,3839
C8-pos_Cluster_1898,,,0.257,2167,,,0.1893,8743
Diterpenoids,,,0.4045,194,,,0.2652,3959
cholestenone,0.4757,47,0.3043,1010,0.5417,36,0.261,4150
C8-pos_Cluster_1901,,,0.2207,4082,,,0.2372,5490
C46:2 TAG*,0.2494,595,0.1814,7136,0.2695,1834,0.1947,8378
C8-pos_Cluster_1903,,,0.2745,1621,,,0.238,5437
C8-pos_Cluster_1904,,,0.219,4205,,,0.2143,7007
C8-pos_Cluster_1905,,,0.2898,1273,,,0.3215,1882
1-acyl,2-(1Z-alkenyl)-glycerophosphocholines,,,0.2981,1110,,,0.3339,1555
C46:1 TAG*,0.2987,407,0.1956,6006,0.292,1450,0.1878,8852
C8-pos_Cluster_1908,,,0.3147,840,,,0.2928,2822
Cholesterols and derivatives,,,0.4017,201,,,0.2956,2725
Ubiquinones,,,0.2721,1686,,,0.2859,3074
C8-pos_Cluster_1911,,,0.196,5977,,,0.3045,2407
C46:0 TAG*,0.3212,306,0.2657,1897,0.3254,905,0.2117,7194
C8-pos_Cluster_1913,,,0.2266,3685,,,0.2196,6625
C8-pos_Cluster_1914,,,0.269,1790,,,0.185,9081
C46:2 TAG,0.311,347,0.2002,5625,0.3332,817,0.2795,3354
C8-pos_Cluster_1916,,,0.1686,7982,,,0.1309,10893
C8-pos_Cluster_1917,,,0.1632,8267,,,0.2506,4709
C8-pos_Cluster_1918,,,0.3303,664,,,0.3851,532
C8-pos_Cluster_1919,,,0.2028,5390,,,0.2631,4059
C8-pos_Cluster_1920,,,0.2003,5617,,,0.2067,7541
C8-pos_Cluster_1921,,,0.2262,3707,,,0.2238,6343
C46:1 TAG,0.2595,564,0.1887,6578,0.2702,1818,0.1985,8097
C8-pos_Cluster_1923,,,0.2045,5266,,,0.2116,7202
C8-pos_Cluster_1924,,,0.2933,1197,,,0.2272,6135
C8-pos_Cluster_1925,,,0.2672,1848,,,0.2742,3571
C8-pos_Cluster_1926,,,0.2132,4626,,,0.2849,3112
C8-pos_Cluster_1927,,,0.2402,2892,,,0.3173,1995
C8-pos_Cluster_1928,,,0.2037,5327,,,0.2152,6939
C8-pos_Cluster_1929,,,0.1851,6880,,,0.21,7322
1,2-diacylglycerols,,,0.1868,6719,,,0.2109,7249
Sphingolipids,,,0.2225,3956,,,0.2211,6521
C46:0 TAG,0.3854,132,0.2334,3264,0.3078,1178,0.2316,5842
1-acyl,2-(1Z-alkenyl)-glycerophosphocholines,,,0.1925,6258,,,0.1579,10479
C8-pos_Cluster_1934,,,0.325,723,,,0.2011,7916
C8-pos_Cluster_1935,,,0.3399,565,,,0.1406,10825
C8-pos_Cluster_1936,,,0.1859,6801,,,0.2638,4021
C8-pos_Cluster_1937,,,0.2485,2512,,,0.2422,5189
C8-pos_Cluster_1938,,,0.2034,5344,,,0.1735,9794
C8-pos_Cluster_1939,,,0.1918,6311,,,0.1912,8627
C8-pos_Cluster_1940,,,0.2179,4278,,,0.2214,6500
C8-pos_Cluster_1941,,,0.3618,396,,,0.2717,3681
C8-pos_Cluster_1942,,,0.1979,5825,,,0.2198,6613
C8-pos_Cluster_1943,,,0.2096,4903,,,0.19,8702
Polyprenylphenols,,,0.2526,2353,,,0.2264,6185
C8-pos_Cluster_1945,,,0.2204,4105,,,0.2038,7726
Phosphatidylcholines,,,0.2439,2719,,,0.262,4116
Sphingolipids,,,0.2468,2584,,,0.2604,4182
C8-pos_Cluster_1948,,,0.2054,5203,,,0.2302,5937
C8-pos_Cluster_1949,,,0.2975,1119,,,0.2048,7655
C8-pos_Cluster_1950,,,0.1298,8978,,,0.1511,10668
C8-pos_Cluster_1951,,,0.2064,5124,,,0.1869,8924
Phosphatidylcholines,,,0.3361,603,,,0.2683,3824
Sphingolipids,,,0.2293,3521,,,0.3199,1918
C8-pos_Cluster_1954,,,0.2342,3206,,,0.2242,6323
C8-pos_Cluster_1955,,,0.1798,7259,,,0.2322,5795
Phosphatidylcholines,,,0.2878,1313,,,0.2065,7556
Phosphatidylcholines,,,0.2426,2773,,,0.2479,4861
C8-pos_Cluster_1958,,,0.2926,1211,,,0.1912,8628
C8-pos_Cluster_1959,,,0.1939,6163,,,0.2071,7513
Sphingolipids,,,0.1837,6980,,,0.2419,5209
C8-pos_Cluster_1961,,,0.2832,1413,,,0.2654,3948
C8-pos_Cluster_1962,,,0.2037,5322,,,0.2891,2949
C8-pos_Cluster_1963,,,0.3135,863,,,0.3964,430
C8-pos_Cluster_1964,,,0.1795,7283,,,0.2761,3486
C24:1 SM,0.2776,494,0.1757,7553,0.3087,1166,0.2436,5122
C8-pos_Cluster_1966,,,0.2441,2705,,,0.2105,7280
C8-pos_Cluster_1967,,,0.1876,6652,,,0.2284,6060
C8-pos_Cluster_1968,,,0.2316,3382,,,0.2565,4397
1-(1Z-alkenyl),2-acylglycerophosphoethanolamines,,,0.1951,6056,,,0.3664,740
C24:0 SM,0.2552,572,0.2055,5193,0.3272,885,0.2674,3857
C8-pos_Cluster_1971,,,0.2097,4884,,,0.2402,5300
Sphingolipids,,,0.1952,6045,,,0.2099,7329
C8-pos_Cluster_1973,,,0.1831,7010,,,0.3784,605
C8-pos_Cluster_1974,,,0.1808,7179,,,0.304,2416
C8-pos_Cluster_1975,,,0.1681,8021,,,0.1571,10508
C48:2 TAG*,0.2433,608,0.1771,7464,0.2569,2064,0.2115,7206
C8-pos_Cluster_1977,,,0.2692,1783,,,0.235,5629
C8-pos_Cluster_1978,,,0.2726,1670,,,0.3117,2156
C8-pos_Cluster_1979,,,0.2645,1930,,,0.32,1916
C48:4 TAG,0.3222,303,0.2244,3818,0.3021,1285,0.2283,6063
1-alkyl,2-acylglycero-3-phosphocholines,,,0.3124,873,,,0.2622,4104
C8-pos_Cluster_1982,,,0.2257,3732,,,0.204,7709
C8-pos_Cluster_1983,,,0.2241,3842,,,0.2604,4183
Ubiquinones,,,0.224,3851,,,0.358,948
C8-pos_Cluster_1985,,,0.2419,2813,,,0.2433,5137
C8-pos_Cluster_1986,,,0.2014,5516,,,0.1825,9248
C48:3 TAG,0.314,335,0.183,7021,0.2749,1739,0.2507,4704
C8-pos_Cluster_1988,,,0.2362,3097,,,0.3083,2272
Phosphatidylethanolamines,,,0.2147,4496,,,0.1355,10869
C8-pos_Cluster_1990,,,0.1908,6403,,,0.2223,6443
C8-pos_Cluster_1991,,,0.2061,5149,,,0.1881,8829
C48:0 TAG*,0.3017,392,0.2286,3560,0.34,740,0.2555,4468
C8-pos_Cluster_1993,,,0.2417,2824,,,0.2727,3636
Phosphatidylserines,,,0.3917,236,,,0.2915,2858
C48:2 TAG,0.2604,561,0.2087,4973,0.2547,2087,0.2455,4996
C8-pos_Cluster_1996,,,0.1732,7703,,,0.1649,10227
C48:1 TAG,0.2501,591,0.1948,6080,0.3004,1323,0.2769,3453
C8-pos_Cluster_1998,,,0.2524,2360,,,0.2005,7960
1-acyl,2-(1Z-alkenyl)-glycerophosphocholines,,,0.1754,7581,,,0.1905,8664
C8-pos_Cluster_2000,,,0.1407,8878,,,0.1416,10814
C8-pos_Cluster_2001,,,0.2651,1914,,,0.2829,3189
Triacylglycerols,,,0.2187,4222,,,0.2211,6522
C48:0 TAG,0.3428,227,0.2561,2192,0.3019,1291,0.2218,6468
C8-pos_Cluster_2004,,,0.3208,760,,,0.2998,2566
C8-pos_Cluster_2005,,,0.1678,8034,,,0.1356,10867
C8-pos_Cluster_2006,,,0.2186,4228,,,0.1765,9642
C8-pos_Cluster_2007,,,0.2017,5487,,,0.2102,7301
C8-pos_Cluster_2008,,,0.1808,7180,,,0.1882,8821
C8-pos_Cluster_2009,,,0.2574,2151,,,0.268,3835
Flavonoids,,,0.1775,7438,,,0.1862,8984
Sphingolipids,,,0.1915,6337,,,0.1966,8252
C8-pos_Cluster_2012,,,0.1875,6661,,,0.2356,5592
C8-pos_Cluster_2013,,,0.1861,6788,,,0.1719,9881
C8-pos_Cluster_2014,,,0.1788,7345,,,0.1863,8975
C8-pos_Cluster_2015,,,0.2473,2571,,,0.2662,3908
C8-pos_Cluster_2016,,,0.1787,7350,,,0.3587,939
C8-pos_Cluster_2017,,,0.182,7090,,,0.2532,4580
C8-pos_Cluster_2018,,,0.2144,4517,,,0.2389,5374
C24:1 SM,0.2698,523,0.1779,7408,0.4254,183,0.3138,2101
C8-pos_Cluster_2020,,,0.2388,2960,,,0.2562,4410
1-benzopyrans,,,0.2079,5021,,,0.2203,6580
C49:1 TAG,0.3362,253,0.2295,3517,0.3157,1021,0.2663,3906
C8-pos_Cluster_2023,,,0.2284,3578,,,0.2652,3960
Stigmastanes and derivatives,,,0.1766,7494,,,0.2109,7245
C8-pos_Cluster_2025,,,0.1906,6426,,,0.25,4738
C8-pos_Cluster_2026,,,0.2593,2096,,,0.2255,6237
C8-pos_Cluster_2027,,,0.1761,7529,,,0.1899,8712
C8-pos_Cluster_2028,,,0.2114,4748,,,0.1965,8264
C8-pos_Cluster_2029,,,0.1928,6233,,,0.2825,3214
Phosphatidylinositols,,,0.1958,5995,,,0.3727,657
C8-pos_Cluster_2031,,,0.2795,1496,,,0.2087,7413
C8-pos_Cluster_2032,,,0.1882,6609,,,0.2245,6303
C8-pos_Cluster_2033,,,0.205,5231,,,0.2884,2970
C8-pos_Cluster_2034,,,0.1951,6051,,,0.1399,10837
C8-pos_Cluster_2035,,,0.1918,6312,,,0.3271,1740
C8-pos_Cluster_2036,,,0.2032,5361,,,0.1791,9487
C8-pos_Cluster_2037,,,0.2884,1302,,,0.2074,7493
C8-pos_Cluster_2038,,,0.1835,6990,,,0.1822,9270
C8-pos_Cluster_2039,,,0.1899,6491,,,0.2159,6882
C50:4 TAG*,0.2654,536,0.1777,7425,0.2456,2205,0.1969,8228
C8-pos_Cluster_2041,,,0.1985,5772,,,0.2018,7864
C8-pos_Cluster_2042,,,0.2459,2615,,,0.2396,5337
C8-pos_Cluster_2043,,,0.1997,5661,,,0.2062,7571
C8-pos_Cluster_2044,,,0.2129,4645,,,0.2199,6602
Phosphatidylcholines,,,0.2133,4618,,,0.2186,6684
C50:3 TAG*,0.309,355,0.2273,3643,0.2885,1515,0.3107,2185
C8-pos_Cluster_2047,,,0.1707,7835,,,0.1951,8358
C50:5 TAG,0.3052,375,0.249,2496,0.2721,1787,0.2063,7563
C8-pos_Cluster_2049,,,0.207,5085,,,0.2521,4639
C8-pos_Cluster_2050,,,0.1526,8624,,,0.1625,10312
C8-pos_Cluster_2051,,,0.2588,2115,,,0.2843,3135
C8-pos_Cluster_2052,,,0.2061,5150,,,0.181,9358
C8-pos_Cluster_2053,,,0.2423,2789,,,0.1527,10631
C8-pos_Cluster_2054,,,0.1698,7895,,,0.2306,5904
Sphingolipids,,,0.283,1419,,,0.265,3967
C50:4 TAG,0.2649,538,0.1776,7429,0.267,1891,0.2556,4454
C8-pos_Cluster_2057,,,0.1901,6476,,,0.1743,9757
C8-pos_Cluster_2058,,,0.2321,3345,,,0.2997,2575
C8-pos_Cluster_2059,,,0.1818,7104,,,0.1805,9391
C8-pos_Cluster_2060,,,0.2828,1428,,,0.1497,10695
1-alkyl,2-acylglycero-3-phosphocholines,,,0.3116,887,,,0.2287,6047
1-alkyl,2-acylglycero-3-phosphocholines,,,0.2949,1172,,,0.3787,602
C8-pos_Cluster_2063,,,0.2443,2698,,,0.2441,5093
C50:1 TAG*,0.289,449,0.2295,3509,0.3928,292,0.255,4490
C8-pos_Cluster_2065,,,0.226,3713,,,0.2152,6940
C8-pos_Cluster_2066,,,0.1985,5768,,,0.1558,10551
C8-pos_Cluster_2067,,,0.1937,6178,,,0.3637,795
C8-pos_Cluster_2068,,,0.2094,4924,,,0.2103,7295
C50:3 TAG,0.332,273,0.2183,4255,0.3164,1009,0.2576,4332
C8-pos_Cluster_2070,,,0.158,8468,,,0.1931,8493
Cholesterols and derivatives,,,0.2409,2861,,,0.2895,2936
C8-pos_Cluster_2072,,,0.2183,4256,,,0.2345,5660
C8-pos_Cluster_2073,,,0.1991,5711,,,0.2222,6447
C8-pos_Cluster_2074,,,0.2464,2603,,,0.3103,2195
C50:2 TAG,0.2517,585,0.1964,5941,0.2884,1518,0.2043,7696
C8-pos_Cluster_2076,,,0.2446,2673,,,0.2543,4528
1-alkyl,2-acylglycero-3-phosphocholines,,,0.2645,1931,,,0.2128,7108
C8-pos_Cluster_2078,,,0.328,686,,,0.5015,84
C8-pos_Cluster_2079,,,0.3418,543,,,0.3457,1268
C8-pos_Cluster_2080,,,0.1715,7793,,,0.3347,1524
C50:1 TAG,0.2606,558,0.191,6381,0.36,469,0.2838,3159
C8-pos_Cluster_2082,,,0.2116,4731,,,0.1797,9448
C8-pos_Cluster_2083,,,0.3272,696,,,0.2845,3126
C8-pos_Cluster_2084,,,0.189,6549,,,0.1975,8178
C8-pos_Cluster_2085,,,0.1945,6110,,,0.2141,7024
Phenylalanine and derivatives,,,0.1806,7190,,,0.2848,3113
Triacylglycerols,,,0.1961,5969,,,0.2372,5491
C50:0 TAG,0.2694,525,0.1869,6710,0.3238,921,0.1994,8033
C8-pos_Cluster_2089,,,0.3123,875,,,0.3419,1352
C8-pos_Cluster_2090,,,0.1662,8127,,,0.2716,3683
C8-pos_Cluster_2091,,,0.1831,7015,,,0.2405,5283
C8-pos_Cluster_2092,,,0.2635,1962,,,0.2147,6979
C8-pos_Cluster_2093,,,0.244,2714,,,0.2111,7232
C51:3 TAG*,0.2433,609,0.1646,8192,0.3132,1110,0.2721,3664
C8-pos_Cluster_2095,,,0.1769,7476,,,0.1996,8020
Phosphatidylinositols,,,0.2279,3611,,,0.3685,715
C8-pos_Cluster_2097,,,0.1666,8102,,,0.1715,9906
C8-pos_Cluster_2098,,,0.1863,6762,,,0.2862,3058
Sphingolipids,,,0.2759,1582,,,0.2745,3563
C8-pos_Cluster_2100,,,0.2111,4770,,,0.1736,9790
C8-pos_Cluster_2101,,,0.1917,6325,,,0.145,10765
C51:2 TAG*,0.2566,568,0.1666,8103,0.2294,2397,0.2207,6554
C8-pos_Cluster_2103,,,0.2174,4313,,,0.313,2122
C8-pos_Cluster_2104,,,0.2038,5317,,,0.2161,6871
Ubiquinones,,,0.2047,5252,,,0.188,8835
Phosphatidylcholines,,,0.263,1980,,,0.2795,3355
Sphingolipids,,,0.325,724,,,0.3704,686
C8-pos_Cluster_2108,,,0.2363,3087,,,0.1571,10509
C8-pos_Cluster_2109,,,0.2505,2440,,,0.2087,7412
C8-pos_Cluster_2110,,,0.2445,2683,,,0.305,2394
C8-pos_Cluster_2111,,,0.1717,7779,,,0.2318,5830
C8-pos_Cluster_2112,,,0.2206,4096,,,0.2313,5852
Glycerophosphoethanolamines,,,0.3117,885,,,0.3985,416
C8-pos_Cluster_2114,,,0.2483,2517,,,0.258,4312
C8-pos_Cluster_2115,,,0.1856,6831,,,0.1791,9488
C8-pos_Cluster_2116,,,0.2122,4698,,,0.1858,9020
C51:2 TAG*,0.2676,529,0.1997,5664,0.2833,1590,0.2556,4460
C8-pos_Cluster_2118,,,0.2824,1441,,,0.3334,1568
C52:6 TAG*,0.2907,445,0.1746,7628,0.2971,1370,0.2651,3964
C8-pos_Cluster_2120,,,0.2035,5335,,,0.2272,6133
C8-pos_Cluster_2121,,,0.2165,4366,,,0.24,5306
C8-pos_Cluster_2122,,,0.2359,3115,,,0.1808,9369
C8-pos_Cluster_2123,,,0.2138,4577,,,0.3127,2129
C52:5 TAG*,0.2823,475,0.1981,5805,0.3516,634,0.2359,5578
C8-pos_Cluster_2125,,,0.2242,3831,,,0.1897,8721
C8-pos_Cluster_2126,,,0.2019,5470,,,0.2965,2689
C8-pos_Cluster_2127,,,0.2043,5274,,,0.2069,7524
C52:7 TAG,0.3053,373,0.2148,4485,0.3173,999,0.2596,4221
C8-pos_Cluster_2129,,,0.198,5815,,,0.2447,5048
C51:0 TAG*,0.3032,382,0.2174,4314,0.2832,1592,0.1813,9333
C8-pos_Cluster_2131,,,0.1639,8233,,,0.2475,4884
C52:4 TAG*,0.2815,480,0.1889,6553,0.3188,979,0.2397,5328
C8-pos_Cluster_2133,,,0.1837,6976,,,0.2703,3735
C52:6 TAG,0.2988,405,0.204,5303,0.2971,1371,0.2719,3673
C8-pos_Cluster_2135,,,0.2289,3546,,,0.2638,4022
C52:3 TAG*,0.2605,559,0.175,7602,0.3509,644,0.2528,4605
C8-pos_Cluster_2137,,,0.1908,6404,,,0.2302,5941
C52:5 TAG,0.2589,565,0.1947,6088,0.3301,855,0.2791,3365
C8-pos_Cluster_2139,,,0.2845,1384,,,0.2399,5314
C52:2 TAG*,0.2377,617,0.1651,8174,0.331,845,0.2556,4455
C52:4 TAG,0.1949,655,0.1556,8549,0.2597,2026,0.2555,4464
C8-pos_Cluster_2142,,,0.1745,7634,,,0.2615,4131
Phosphatidylcholines,,,0.2006,5595,,,0.2438,5106
C8-pos_Cluster_2144,,,0.1762,7522,,,0.1853,9056
C8-pos_Cluster_2145,,,0.2132,4627,,,0.2121,7161
1-alkyl,2-acylglycero-3-phosphocholines,,,0.2636,1958,,,0.3305,1633
C52:1 TAG*,0.3069,365,0.2637,1955,0.3793,342,0.2795,3356
C8-pos_Cluster_2148,,,0.2002,5626,,,0.1889,8768
C52:3 TAG,0.2184,635,0.1534,8606,0.2538,2099,0.2202,6585
Phosphatidylethanolamines,,,0.2667,1867,,,0.241,5256
C8-pos_Cluster_2151,,,0.3007,1071,,,0.395,436
1-alkyl,2-acylglycero-3-phosphocholines,,,0.1804,7215,,,0.1564,10532
1-alkyl,2-acylglycero-3-phosphocholines,,,0.2225,3957,,,0.2046,7675
C52:0 TAG*,0.2935,432,0.2217,4016,0.3366,784,0.2287,6043
C8-pos_Cluster_2155,,,0.1853,6865,,,0.2662,3909
C52:2 TAG,0.2182,637,0.1705,7849,0.3036,1259,0.2462,4957
C8-pos_Cluster_2157,,,0.2452,2650,,,0.2103,7296
C8-pos_Cluster_2158,,,0.4527,92,,,0.2749,3541
1-alkyl,2-acylglycero-3-phosphocholines,,,0.2417,2825,,,0.197,8218
C8-pos_Cluster_2160,,,0.2083,5005,,,0.1962,8280
C52:1 TAG,0.2364,618,0.2142,4540,0.3406,728,0.2593,4237
Sphingolipids,,,0.2833,1406,,,0.2754,3517
Phosphatidylinositols,,,0.3093,923,,,0.2701,3741
Phosphatidylinositols,,,0.2351,3153,,,0.2943,2760
1-alkyl,2-acylglycero-3-phosphocholines,,,0.2573,2157,,,0.2616,4127
C8-pos_Cluster_2166,,,0.2822,1446,,,0.3745,636
C8-pos_Cluster_2167,,,0.1728,7734,,,0.1632,10293
C52:0 TAG,0.2788,490,0.2084,5001,0.296,1392,0.2237,6349
Phosphatidylcholines,,,0.302,1044,,,0.3247,1796
Triterpenoids,,,0.1897,6501,,,0.3083,2273
Triterpenoids,,,0.2407,2876,,,0.2694,3772
C8-pos_Cluster_2172,,,0.2094,4916,,,0.1868,8936
Phosphatidylinositols,,,0.2561,2193,,,0.2097,7339
C8-pos_Cluster_2174,,,0.167,8074,,,0.1697,10007
C8-pos_Cluster_2175,,,0.1879,6633,,,0.2125,7128
C8-pos_Cluster_2176,,,0.1687,7969,,,0.156,10545
C8-pos_Cluster_2177,,,0.2291,3531,,,0.2069,7525
C53:3 TAG*,0.2887,450,0.1866,6741,0.2602,2019,0.2088,7407
C8-pos_Cluster_2179,,,0.1861,6789,,,0.1617,10352
C8-pos_Cluster_2180,,,0.261,2050,,,0.1947,8379
C8-pos_Cluster_2181,,,0.1927,6242,,,0.2807,3308
C8-pos_Cluster_2182,,,0.2104,4828,,,0.2066,7551
C8-pos_Cluster_2183,,,0.271,1722,,,0.1993,8039
C8-pos_Cluster_2184,,,0.207,5086,,,0.1873,8902
C8-pos_Cluster_2185,,,0.167,8075,,,0.2144,6998
C8-pos_Cluster_2186,,,0.2479,2539,,,0.2181,6719
C8-pos_Cluster_2187,,,0.1882,6610,,,0.2467,4925
C8-pos_Cluster_2188,,,0.2559,2200,,,0.264,4014
C8-pos_Cluster_2189,,,0.1938,6172,,,0.3108,2183
C8-pos_Cluster_2190,,,0.2229,3927,,,0.1917,8592
C8-pos_Cluster_2191,,,0.2094,4925,,,0.2293,5989
C53:3 TAG*,0.2638,546,0.2171,4331,0.2522,2120,0.1871,8913
C8-pos_Cluster_2193,,,0.2924,1214,,,0.2769,3454
C8-pos_Cluster_2194,,,0.2022,5447,,,0.2362,5563
C8-pos_Cluster_2195,,,0.2059,5166,,,0.1934,8470
C8-pos_Cluster_2196,,,0.2064,5125,,,0.2869,3037
C54:9 TAG,0.2933,436,0.2063,5136,0.244,2221,0.1935,8462
C8-pos_Cluster_2198,,,0.19,6479,,,0.2347,5646
C8-pos_Cluster_2199,,,0.1782,7383,,,0.2532,4581
C8-pos_Cluster_2200,,,0.273,1652,,,0.2776,3431
C54:6 TAG*,0.2942,424,0.1852,6866,0.3699,393,0.2711,3702
C54:8 TAG,0.2639,545,0.1718,7774,0.3403,735,0.2826,3206
C8-pos_Cluster_2203,,,0.2232,3907,,,0.3198,1922
C8-pos_Cluster_2204,,,0.2872,1325,,,0.2362,5566
C8-pos_Cluster_2205,,,0.2113,4754,,,0.2496,4766
C8-pos_Cluster_2206,,,0.2072,5065,,,0.1887,8785
C54:5 TAG*,0.2496,593,0.1745,7635,0.3279,879,0.3006,2527
Phosphatidylcholines,,,0.2144,4518,,,0.1704,9960
C8-pos_Cluster_2209,,,0.221,4065,,,0.1944,8396
C54:7 TAG,0.2621,550,0.179,7322,0.3194,970,0.2169,6812
C54:4 TAG*,0.2819,477,0.2133,4619,0.3302,853,0.2535,4566
C8-pos_Cluster_2212,,,0.2287,3557,,,0.257,4372
C8-pos_Cluster_2213,,,0.2042,5284,,,0.1919,8568
C8-pos_Cluster_2214,,,0.2769,1559,,,0.2127,7111
C54:6 TAG,0.199,654,0.1537,8599,0.2974,1366,0.3002,2549
C8-pos_Cluster_2216,,,0.223,3918,,,0.2052,7627
C8-pos_Cluster_2217,,,0.1855,6839,,,0.1686,10060
C54:3 TAG*,0.2867,458,0.2096,4904,0.3545,599,0.2849,3110
C8-pos_Cluster_2219,,,0.2189,4208,,,0.1861,8997
C54:5 TAG,0.2034,651,0.1598,8397,0.2624,1978,0.2593,4238
C8-pos_Cluster_2221,,,0.1581,8465,,,0.2458,4976
Phosphatidylcholines,,,0.2271,3659,,,0.2544,4519
C8-pos_Cluster_2223,,,0.205,5232,,,0.2158,6888
C8-pos_Cluster_2224,,,0.1768,7482,,,0.1856,9035
C8-pos_Cluster_2225,,,0.2078,5025,,,0.2502,4728
C54:4 TAG,0.2256,627,0.181,7162,0.2833,1591,0.2539,4549
C8-pos_Cluster_2227,,,0.2833,1407,,,0.2364,5551
C8-pos_Cluster_2228,,,0.1788,7343,,,0.1848,9105
C8-pos_Cluster_2229,,,0.31,912,,,0.1645,10239
C8-pos_Cluster_2230,,,0.1502,8676,,,0.3103,2196
C8-pos_Cluster_2231,,,0.2554,2223,,,0.2464,4946
C8-pos_Cluster_2232,,,0.3369,595,,,0.2225,6420
C54:3 TAG,0.2223,630,0.1909,6393,0.2511,2133,0.2048,7656
2,3,4-saturated fatty acyl CoAs,,,0.1883,6595,,,0.1856,9039
C8-pos_Cluster_2235,,,0.2275,3631,,,0.2583,4294
C8-pos_Cluster_2236,,,0.2406,2878,,,0.2421,5197
C8-pos_Cluster_2237,,,0.3057,983,,,0.2151,6950
C8-pos_Cluster_2238,,,0.1918,6313,,,0.2054,7612
C8-pos_Cluster_2239,,,0.2397,2915,,,0.1768,9622
C54:2 TAG,0.2743,505,0.1916,6329,0.3952,287,0.3367,1478
C8-pos_Cluster_2241,,,0.2847,1380,,,0.2292,5998
C54:1 TAG,0.2741,507,0.2305,3460,0.3692,396,0.326,1767
Sphingolipids,,,0.3393,571,,,0.3386,1433
C8-pos_Cluster_2244,,,0.1902,6469,,,0.2303,5930
C8-pos_Cluster_2245,,,0.2031,5365,,,0.2068,7534
C8-pos_Cluster_2246,,,0.1972,5875,,,0.2501,4734
C8-pos_Cluster_2247,,,0.1964,5942,,,0.2026,7800
Phosphatidylcholines,,,0.1688,7960,,,0.2612,4146
C8-pos_Cluster_2249,,,0.2134,4609,,,0.2718,3678
C8-pos_Cluster_2250,,,0.1863,6763,,,0.1892,8746
C8-pos_Cluster_2251,,,0.2061,5151,,,0.2604,4184
C8-pos_Cluster_2252,,,0.2284,3574,,,0.2965,2690
C8-pos_Cluster_2253,,,0.2164,4379,,,0.2222,6448
C8-pos_Cluster_2254,,,0.2164,4373,,,0.2288,6037
Phosphatidylcholines,,,0.1465,8762,,,0.2607,4165
C8-pos_Cluster_2256,,,0.2015,5505,,,0.1742,9766
C8-pos_Cluster_2257,,,0.2035,5336,,,0.1687,10055
C8-pos_Cluster_2258,,,0.2004,5611,,,0.2318,5827
C8-pos_Cluster_2259,,,0.2001,5638,,,0.2255,6240
C8-pos_Cluster_2260,,,0.2242,3827,,,0.3138,2100
C8-pos_Cluster_2261,,,0.1957,6002,,,0.2568,4381
C8-pos_Cluster_2262,,,0.2251,3772,,,0.2121,7162
C8-pos_Cluster_2263,,,0.1866,6738,,,0.2406,5277
C8-pos_Cluster_2264,,,0.2106,4812,,,0.2337,5707
Glycerophosphoinositol phosphates,,,0.1497,8692,,,0.1806,9384
C8-pos_Cluster_2266,,,0.1899,6487,,,0.3593,923
Triacylglycerols,,,0.2302,3477,,,0.1922,8552
C8-pos_Cluster_2268,,,0.179,7323,,,0.2735,3607
C8-pos_Cluster_2269,,,0.1874,6676,,,0.2426,5170
C8-pos_Cluster_2270,,,0.2091,4949,,,0.2153,6929
C8-pos_Cluster_2271,,,0.1879,6634,,,0.3015,2493
C8-pos_Cluster_2272,,,0.2146,4503,,,0.2212,6512
